IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.146.249,2095,2095,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.180.51,2052,2052,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.124.227,443,443,true,SIN,Asia Pacific,Singapore,12,0.00
8.219.86.200,2095,2095,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.160.176,2095,2095,false,SIN,Asia Pacific,Singapore,12,0.00
47.245.84.124,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.174.108,80,80,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.5.10,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.0.162,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.179.231,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.177.205,2087,2087,true,SIN,Asia Pacific,Singapore,14,0.00
8.222.150.197,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.106.156,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.67.133,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.110.81,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.199.220,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.174.206,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.149.107,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.100.168,2082,2082,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.248.47,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.222.64,2086,2086,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.198.34,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.249.190,2095,2095,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.111.175,8443,8443,true,SIN,Asia Pacific,Singapore,17,0.00
8.219.42.72,2082,2082,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.99.169,8880,8880,false,SIN,Asia Pacific,Singapore,18,0.00
